Education_Level,Specialization,Skills,Interests,Recommended_Career,Career_Description
M.Sc,Physics,Scientific Writing,Creativity,Analyst,M.Sc graduates specialized in Physics with skills in Scientific Writing can build a career as a Analyst. Suitable for those interested in Creativity.
B.Des,Fashion,"Sketching, Visualization",Technology,Animator,"B.Des graduates specialized in Fashion with skills in Sketching, Visualization can build a career as a Animator. Suitable for those interested in Technology."
Diploma,Civil,Basic Programming,Research,Junior Engineer,Diploma graduates specialized in Civil with skills in Basic Programming can build a career as a Junior Engineer. Suitable for those interested in Research.
B.Tech,Electrical,"PLC, PSCAD, Design",Creativity,Mechanical Engineer,"B.Tech graduates specialized in Electrical with skills in PLC, PSCAD, Design can build a career as a Mechanical Engineer. Suitable for those interested in Creativity."
M.Ed,Education,"Educational Planning, Management",Teaching,Academic Coordinator,"M.Ed graduates specialized in Education with skills in Educational Planning, Management can build a career as a Academic Coordinator. Suitable for those interested in Teaching."
B.Com,Banking,"Communication, Tax Filing",Healthcare,Financial Analyst,"B.Com graduates specialized in Banking with skills in Communication, Tax Filing can build a career as a Financial Analyst. Suitable for those interested in Healthcare."
M.Sc,Mathematics,Scientific Writing,Teaching,Research Scientist,M.Sc graduates specialized in Mathematics with skills in Scientific Writing can build a career as a Research Scientist. Suitable for those interested in Teaching.
B.Tech,Computer Science,"PLC, PSCAD, Design",Teaching,Software Engineer,"B.Tech graduates specialized in Computer Science with skills in PLC, PSCAD, Design can build a career as a Software Engineer. Suitable for those interested in Teaching."
Diploma,Civil,"AutoCAD, Project Work",Business,Technician,"Diploma graduates specialized in Civil with skills in AutoCAD, Project Work can build a career as a Technician. Suitable for those interested in Business."
10th,Science,"Typing, Office Work",Research,Sales Assistant,"10th graduates specialized in Science with skills in Typing, Office Work can build a career as a Sales Assistant. Suitable for those interested in Research."
B.Des,Graphic Design,"Photoshop, Creativity, Branding",Teaching,Graphic Designer,"B.Des graduates specialized in Graphic Design with skills in Photoshop, Creativity, Branding can build a career as a Graphic Designer. Suitable for those interested in Teaching."
B.Com,Accounting,"Communication, Tax Filing",Teaching,Financial Analyst,"B.Com graduates specialized in Accounting with skills in Communication, Tax Filing can build a career as a Financial Analyst. Suitable for those interested in Teaching."
MBA,Operations,"Leadership, Strategy, Analytics",Business,HR Specialist,"MBA graduates specialized in Operations with skills in Leadership, Strategy, Analytics can build a career as a HR Specialist. Suitable for those interested in Business."
M.Sc,Mathematics,"Research, Data Collection",Helping People,Research Scientist,"M.Sc graduates specialized in Mathematics with skills in Research, Data Collection can build a career as a Research Scientist. Suitable for those interested in Helping People."
MBA,HR,"Planning, Communication",Healthcare,Marketing Executive,"MBA graduates specialized in HR with skills in Planning, Communication can build a career as a Marketing Executive. Suitable for those interested in Healthcare."
B.Sc,Physics,Critical Thinking,Teaching,Lab Technician,B.Sc graduates specialized in Physics with skills in Critical Thinking can build a career as a Lab Technician. Suitable for those interested in Teaching.
BCA,Computer Applications,"Python, Web Development, Databases",Business,Software Developer,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a Software Developer. Suitable for those interested in Business."
Diploma,Computer Applications,"AutoCAD, Project Work",Management,AutoCAD Designer,"Diploma graduates specialized in Computer Applications with skills in AutoCAD, Project Work can build a career as a AutoCAD Designer. Suitable for those interested in Management."
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Social Work,Surgeon,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Surgeon. Suitable for those interested in Social Work."
B.Com,Accounting,"Communication, Tax Filing",Teaching,Auditor,"B.Com graduates specialized in Accounting with skills in Communication, Tax Filing can build a career as a Auditor. Suitable for those interested in Teaching."
B.Ed,Education,Student Mentoring,Creativity,School Coordinator,B.Ed graduates specialized in Education with skills in Student Mentoring can build a career as a School Coordinator. Suitable for those interested in Creativity.
B.Sc,Physics,"Observation, Recording",Design,Research Assistant,"B.Sc graduates specialized in Physics with skills in Observation, Recording can build a career as a Research Assistant. Suitable for those interested in Design."
BA,Political Science,"Research, Public Speaking",Design,Teacher,"BA graduates specialized in Political Science with skills in Research, Public Speaking can build a career as a Teacher. Suitable for those interested in Design."
B.Sc,Biology,Critical Thinking,Social Work,Data Analyst,B.Sc graduates specialized in Biology with skills in Critical Thinking can build a career as a Data Analyst. Suitable for those interested in Social Work.
B.Tech,Computer Science,"Python, MATLAB, CAD",Technology,Civil Engineer,"B.Tech graduates specialized in Computer Science with skills in Python, MATLAB, CAD can build a career as a Civil Engineer. Suitable for those interested in Technology."
MCA,Computer Science,"Database Design, Python",Technology,Data Scientist,"MCA graduates specialized in Computer Science with skills in Database Design, Python can build a career as a Data Scientist. Suitable for those interested in Technology."
M.Tech,Structural Engineering,"AI, Simulation, MATLAB",Technology,AI Engineer,"M.Tech graduates specialized in Structural Engineering with skills in AI, Simulation, MATLAB can build a career as a AI Engineer. Suitable for those interested in Technology."
Diploma,Electrical,"Electrical Wiring, CAD",Research,Technician,"Diploma graduates specialized in Electrical with skills in Electrical Wiring, CAD can build a career as a Technician. Suitable for those interested in Research."
M.Tech,Structural Engineering,"AI, Simulation, MATLAB",Social Work,Design Engineer,"M.Tech graduates specialized in Structural Engineering with skills in AI, Simulation, MATLAB can build a career as a Design Engineer. Suitable for those interested in Social Work."
M.Ed,Administration,Assessment Design,Helping People,Principal,M.Ed graduates specialized in Administration with skills in Assessment Design can build a career as a Principal. Suitable for those interested in Helping People.
B.Des,Fashion,"Photoshop, Creativity, Branding",Management,Graphic Designer,"B.Des graduates specialized in Fashion with skills in Photoshop, Creativity, Branding can build a career as a Graphic Designer. Suitable for those interested in Management."
B.Des,Graphic Design,"Photoshop, Creativity, Branding",Teaching,Animator,"B.Des graduates specialized in Graphic Design with skills in Photoshop, Creativity, Branding can build a career as a Animator. Suitable for those interested in Teaching."
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Healthcare,Surgeon,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Surgeon. Suitable for those interested in Healthcare."
12th,Science,"Basic Accounting, Data Entry",Design,Junior Assistant,"12th graduates specialized in Science with skills in Basic Accounting, Data Entry can build a career as a Junior Assistant. Suitable for those interested in Design."
